                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2849,                   1.46,                 1.3783,                0.72753,                0.68916,                0.75288,                0.50239,                 1.2061,                 1.2149,                 1.3212,             0.00073704,             0.00073704,             0.00073704
                     36,                 1.2474,                 1.4175,                  1.374,                0.77251,                0.70356,                0.77085,                0.51677,                 1.1946,                 1.1381,                 1.3101,             0.00072604,             0.00072604,             0.00072604
                     37,                 1.2371,                 1.3988,                 1.3486,                 0.7866,                0.68437,                0.77818,                0.52166,                 1.2004,                 1.1334,                 1.3181,             0.00071504,             0.00071504,             0.00071504
                     38,                 1.2272,                  1.398,                 1.3623,                0.75268,                0.66541,                0.74898,                0.50566,                 1.1901,                 1.1707,                 1.3072,             0.00070404,             0.00070404,             0.00070404
                     39,                 1.2502,                 1.3948,                 1.3744,                 0.7447,                0.67608,                0.75781,                0.50427,                 1.2113,                 1.1597,                 1.3186,             0.00069304,             0.00069304,             0.00069304
                     40,                 1.2041,                 1.3658,                 1.3233,                0.79704,                0.72383,                0.80666,                 0.5567,                 1.1323,                 1.0552,                 1.2673,             0.00068204,             0.00068204,             0.00068204
                     41,                 1.2083,                 1.3239,                 1.3367,                0.81786,                0.70102,                0.79969,                0.55022,                 1.1413,                 1.0641,                 1.2682,             0.00067104,             0.00067104,             0.00067104
                     42,                 1.2329,                  1.363,                 1.3443,                0.82089,                0.73763,                0.82577,                 0.5796,                 1.1087,                 1.0102,                 1.2467,             0.00066005,             0.00066005,             0.00066005
                     43,                 1.1807,                 1.3021,                 1.3341,                0.79698,                0.72848,                0.81828,                0.56558,                 1.1196,                 1.0128,                  1.252,             0.00064905,             0.00064905,             0.00064905
                     44,                 1.2015,                 1.2933,                 1.3267,                0.79074,                0.72277,                0.80949,                0.56039,                 1.1291,                 1.0235,                 1.2482,             0.00063805,             0.00063805,             0.00063805
                     45,                 1.2039,                 1.3054,                 1.3339,                0.81536,                0.73763,                0.83032,                0.57895,                 1.1022,                0.98319,                 1.2409,             0.00062705,             0.00062705,             0.00062705
                     46,                 1.1652,                 1.2788,                  1.327,                0.81109,                  0.742,                0.82964,                0.58607,                 1.0936,                0.97423,                 1.2292,             0.00061605,             0.00061605,             0.00061605
                     47,                 1.1744,                 1.2347,                 1.2985,                0.85477,                0.74664,                0.84399,                0.60261,                 1.0809,                 0.9363,                 1.2242,             0.00060505,             0.00060505,             0.00060505
                     48,                 1.1719,                 1.2269,                 1.2998,                0.84199,                0.76464,                0.85063,                0.60836,                 1.0639,                0.92969,                 1.2115,             0.00059405,             0.00059405,             0.00059405
                     49,                 1.1562,                 1.2395,                 1.2924,                0.83228,                0.74675,                0.84621,                0.60631,                 1.0374,                0.93511,                 1.1974,             0.00058305,             0.00058305,             0.00058305
                     50,                 1.1321,                 1.2055,                 1.2829,                0.86465,                0.77524,                0.85884,                0.61354,                 1.0591,                0.89611,                 1.2052,             0.00057205,             0.00057205,             0.00057205
                     51,                 1.1381,                 1.1833,                 1.2798,                0.84665,                  0.766,                0.85497,                0.61459,                  1.062,                0.93927,                  1.204,             0.00056105,             0.00056105,             0.00056105
                     52,                 1.1656,                  1.165,                  1.284,                0.86415,                0.77704,                0.87214,                0.62655,                 1.0491,                0.87091,                 1.1982,             0.00055006,             0.00055006,             0.00055006
                     53,                 1.1344,                 1.1731,                 1.2875,                0.87725,                0.79453,                0.88156,                0.64349,                 1.0219,                0.84598,                  1.183,             0.00053906,             0.00053906,             0.00053906
                     54,                 1.1241,                 1.1201,                 1.2691,                 0.8683,                0.78691,                 0.8785,                0.63413,                 1.0336,                0.83027,                 1.1821,             0.00052806,             0.00052806,             0.00052806
                     55,                 1.1123,                 1.1243,                 1.2635,                0.87011,                0.81205,                0.88818,                 0.6494,                 1.0106,                0.80104,                  1.167,             0.00051706,             0.00051706,             0.00051706
                     56,                 1.0859,                 1.0853,                 1.2427,                0.88859,                0.78145,                0.88782,                0.65671,                0.98804,                0.81175,                 1.1452,             0.00050606,             0.00050606,             0.00050606
                     57,                 1.0875,                 1.1145,                 1.2463,                0.88564,                0.81698,                0.89573,                0.67001,                0.97683,                0.78634,                 1.1413,             0.00049506,             0.00049506,             0.00049506
                     58,                 1.0805,                  1.088,                 1.2353,                0.89117,                0.79433,                0.89743,                0.66551,                0.98977,                0.80394,                 1.1422,             0.00048406,             0.00048406,             0.00048406
                     59,                 1.0911,                 1.0776,                 1.2509,                0.88065,                0.80877,                0.89468,                0.67344,                0.96891,                0.76885,                 1.1393,             0.00047306,             0.00047306,             0.00047306
                     60,                 1.0896,                 1.1059,                 1.2465,                0.88706,                0.81614,                0.90223,                0.67337,                0.96578,                0.76813,                 1.1319,             0.00046206,             0.00046206,             0.00046206
                     61,                 1.0679,                 1.0821,                 1.2282,                0.89293,                0.81768,                0.90378,                0.67224,                0.95119,                0.76161,                 1.1241,             0.00045107,             0.00045107,             0.00045107
                     62,                 1.0751,                 1.0513,                 1.2415,                0.89092,                0.82999,                0.90618,                0.68241,                0.95292,                0.77305,                 1.1228,             0.00044007,             0.00044007,             0.00044007
                     63,                  1.059,                  1.041,                 1.2228,                0.90833,                0.82066,                0.91162,                  0.697,                0.92452,                0.73277,                 1.1045,             0.00042907,             0.00042907,             0.00042907
                     64,                 1.0664,                 1.0369,                 1.2308,                0.90064,                0.83489,                0.90833,                0.68704,                0.94392,                0.72789,                 1.1096,             0.00041807,             0.00041807,             0.00041807
                     65,                 1.0346,                 1.0196,                 1.2157,                0.91558,                0.83992,                 0.9168,                0.69772,                0.91958,                0.71942,                 1.0968,             0.00040707,             0.00040707,             0.00040707
