                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.00783,                   0.95,                      1,                0.35303,             0.00024747,             0.00024747,             0.00024747
                     68,                0.00697,                   0.95,                      1,                0.35132,              0.0002404,              0.0002404,              0.0002404
                     69,                0.00348,                   0.95,                      1,                0.35132,             0.00023334,             0.00023334,             0.00023334
                     70,                0.00588,                   0.95,                      1,                0.34644,             0.00022627,             0.00022627,             0.00022627
                     71,                0.00896,                   0.95,                      1,                0.35254,              0.0002192,              0.0002192,              0.0002192
                     72,                0.00131,                   0.95,                      1,                0.35352,             0.00021213,             0.00021213,             0.00021213
                     73,                0.00575,                   0.95,                      1,                0.35571,             0.00020506,             0.00020506,             0.00020506
                     74,                0.00259,                   0.95,                      1,                 0.3562,             0.00019799,             0.00019799,             0.00019799
                     75,                0.00351,                   0.95,                      1,                0.35376,             0.00019092,             0.00019092,             0.00019092
                     76,                0.00975,                   0.95,                      1,                0.35522,             0.00018385,             0.00018385,             0.00018385
                     77,                0.03085,                   0.95,                      1,                0.34888,             0.00017679,             0.00017679,             0.00017679
                     78,                0.00547,                   0.95,                      1,                 0.3501,             0.00016972,             0.00016972,             0.00016972
                     79,                0.00846,                   0.95,                      1,                 0.3501,             0.00016265,             0.00016265,             0.00016265
                     80,                 0.0026,                   0.95,                      1,                0.35156,             0.00015558,             0.00015558,             0.00015558
                     81,                0.04222,                   0.95,                      1,                0.34351,             0.00014851,             0.00014851,             0.00014851
                     82,                0.01457,                   0.95,                      1,                 0.3418,             0.00014144,             0.00014144,             0.00014144
                     83,                0.01154,                   0.95,                      1,                0.34717,             0.00013437,             0.00013437,             0.00013437
                     84,                0.01737,                   0.95,                      1,                0.35596,             0.00012731,             0.00012731,             0.00012731
                     85,                0.00446,                   0.95,                      1,                0.35449,             0.00012024,             0.00012024,             0.00012024
                     86,                0.00959,                   0.95,                      1,                0.35718,             0.00011317,             0.00011317,             0.00011317
                     87,                0.00208,                   0.95,                      1,                0.35474,              0.0001061,              0.0001061,              0.0001061
                     88,                0.00614,                   0.95,                      1,                0.34668,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.00349,                   0.95,                      1,                0.34668,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.00244,                   0.95,                      1,                0.34595,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.01121,                   0.95,                      1,                0.34961,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.00417,                   0.95,                      1,                0.34766,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.01082,                   0.95,                      1,                0.34619,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                 0.0201,                   0.95,                      1,                0.34692,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.00707,                   0.95,                      1,                0.34399,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.00968,                   0.95,                      1,                0.34082,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                 0.0043,                   0.95,                      1,                0.34058,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.01681,                   0.95,                      1,                0.34497,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.01147,                   0.95,                      1,                0.34961,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                0.05427,                   0.95,                      1,                0.34912,             1.4209e-05,             1.4209e-05,             1.4209e-05
